didok,stationsbezeichnung,service,Mail,Firma,Postfach,Adresse,Nummer,PLZ,Ort,Land,geopos,ID
294,Balsthal,"Billette, Abonnemente, Freizeitangebote",bahnhof.balsthal@rail.ch,Oensingen-Balsthal-Bahn,Postfach,Bahnhofplatz,1,4710,Balsthal,,"47.3128885029, 7.69391394062",427
294,Balsthal,Gepäck,bahnhof.balsthal@rail.ch,Oensingen-Balsthal-Bahn,Postfach,Bahnhofplatz,1,4710,Balsthal,,"47.3128885029, 7.69391394062",428
305,Frick,Geldwechsel,reisebuero.frick@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,2,5070,Frick,Schweiz,"47.5073437467, 8.01307225263",429
1008,Genève,Businesspoint,,Chemins de fer fédéraux suisse CFF,,Place Cornavin,7,1201,Genève,Suisse,"46.2102022669, 6.14245302875",430
1008,Genève,Fundservice,b.ge385@sbb.ch,Chemins de fer fédéraux suisse CFF,,Place Cornavin,7,1201,Genève,Suisse,"46.2102022669, 6.14245302875",431
1008,Genève,Geldwechsel,change.geneve@sbb.ch,Chemins de fer fédéraux suisse CFF,,Place Cornavin,7,1201,Genève,Suisse,"46.2102022669, 6.14245302875",432
1026,Genève-Aéroport,"Billette, Abonnemente, Freizeitangebote",voyageurs.geneve-aeroport@sbb.ch,Chemins de fer fédéraux suisse CFF,321,Route de l'Aéroport,25,1215,Genève,Suisse,"46.2325293452, 6.11198571992",433
1026,Genève-Aéroport,Geldwechsel,voyageurs.geneve-aeroport@sbb.ch,Chemins de fer fédéraux suisse CFF,321,Route de l'Aéroport,25,1215,Genève,Suisse,"46.2325293452, 6.11198571992",434
1030,Nyon,"Billette, Abonnemente, Freizeitangebote",voyageurs.nyon@cff.ch,Chemins de fer fédéraux suisse CFF,1178,Place de la Gare,2,1260,Nyon 1,Suisse,"46.3844060313, 6.23597429701",435
1118,Renens VD,"Billette, Abonnemente, Freizeitangebote",voyageurs.renens@cff.ch,Chemins de fer fédéraux suisse CFF,,Place de la Gare,3,1020,Renens,Suisse,"46.5370287879, 6.57893884264",436
1118,Renens VD,Geldwechsel,voyageurs.renens@cff.ch,Chemins de fer fédéraux suisse CFF,,Place de la Gare,3,1020,Renens,Suisse,"46.5370287879, 6.57893884264",437
1157,Sentier-Orient,Geldwechsel,lesentier@travys.ch,,,,,,,,"46.6057654715, 6.23139574664",438
1160,Lausanne-Chauderon,"Billette, Abonnemente, Freizeitangebote",gare.lausanne-chauderon@rail.ch,Chemin de fer Lausanne-Echallens-Bercher,,Place Chauderon 12,,1003,Lausanne,,"46.5232251758, 6.62606417447",439
1191,Orbe,Gepäck,gare.orbe@travys.ch,,,,,,,,"46.7243888263, 6.53010963129",440
1214,EPFL Agence CFF (Renens),Eventtickets,agence_cff.epfl@sbb.ch,Chemins de fer fédéraux suisse CFF,,Bâtiment CM 1 364 / Station 10,,1015,Lausanne,,"46.5221954241, 6.56614192874",441
1303,Villeneuve,Gepäck,gare.villeneuve@sbb.ch,Chemins de fer fédéraux suisse CFF,,Place de la Gare,3,1844,Villeneuve,,"46.3983659275, 6.92699984758",442
1351,Sonloup,Drittverkauf,,,,,,,,,"46.4571618055, 6.93891356601",443
1352,Montreux MOB,Geldwechsel,goldenpass@goldenpass.ch,,,,,,,,"46.4362535563, 6.91072831865",444
1370,Glion,"Billette, Abonnemente, Freizeitangebote",gare.glion@goldenpass.ch,,,,,,,,"46.4317751146, 6.92473234914",445
1399,Gstaad,Check-in am Bahnhof,bahnhof.gstaad@goldenpass.ch,GoldenPass,,Güterstrasse,12,3780,Gstaad,,"46.4748024084, 7.28441201978",446
1399,Gstaad,Geldwechsel,bahnhof.gstaad@goldenpass.ch,GoldenPass,,Güterstrasse,12,3780,Gstaad,,"46.4748024084, 7.28441201978",447
1448,Champéry,"Billette, Abonnemente, Freizeitangebote",gare.champery@tpc.ch,,,,,,,,"46.174950304, 6.87150433206",448
1461,Ollon,"Billette, Abonnemente, Freizeitangebote",,,,,,,,,"46.2968225468, 6.99310828261",449
1479,Les Diablerets,"Billette, Abonnemente, Freizeitangebote",gare.diablerets_les@rail.ch,Tranports publics du Chablais,Case Postale 71,,,1865,Les Diablerets / VD,,"46.3511579623, 7.15502420208",450
1500,Martigny,"Billette, Abonnemente, Freizeitangebote",b11.ma300@sbb.ch,Chemins de fer fédéraux suisse CFF,,Avenue de la Gare,53,1920,Martigny,,"46.1058273015, 7.07912247583",451
1506,Sion,Geldwechsel,voyageurs.sion@sbb.ch,Chemins de fer fédéraux suisse CFF,,Place de la Gare,1,1950,Sion,,"46.2275453615, 7.35919185191",452
1506,Sion,Western Union,voyageurs.sion@sbb.ch,Chemins de fer fédéraux suisse CFF,,Place de la Gare,1,1950,Sion,,"46.2275453615, 7.35919185191",453
1509,Sierre/Siders,Eventtickets,sie300@sbb.ch,Chemins de fer fédéraux suisse CFF,,Place de la Gare,10,3960,Sierre,,"46.2921149792, 7.53283036255",454
1509,Sierre/Siders,Gepäck,sie300@sbb.ch,Chemins de fer fédéraux suisse CFF,,Place de la Gare,10,3960,Sierre,,"46.2921149792, 7.53283036255",455
1569,Vallorcine,Schalter Société Nationale des Chemins de fer Français (SNCF),,,,,,,,,"46.0327065564, 6.93311877818",456
1578,Orsières,"Billette, Abonnemente, Freizeitangebote",gare.orsieres@tmrsa.ch,TMRSA,,Route de la Gare,34,1937,Orsières,,"46.027736241, 7.14380826395",457
1590,Sierre/Siders SMC,"Billette, Abonnemente, Freizeitangebote",sierregare@cie-smc.ch,SMC SA,,Rue de Pradec,2,3960,Sierre,,"46.2927830244, 7.52991168125",458
1596,Montana-Gare,"Billette, Abonnemente, Freizeitangebote",montanagare@cie-smc.ch,Companie de Chemin de Fer et d'autobus Sierre-Monana-Crans,Case Postale 362,,,3963,Crans-Montana,,"46.3129044245, 7.48922118856",459
1605,Visp,Eventtickets,bahnhof.visp@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,1,3930,Visp,,"46.2940248591, 7.88145816487",460
1609,Brig,"Billette, Abonnemente, Freizeitangebote",reisezentrum.brig@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,1,3900,Brig,,"46.3194210071, 7.98809158467",461
1620,Brig Contact Center SBB,Call Center Handicap,mobil@sbb.ch,,,,,,,,,462
1620,Brig Contact Center SBB,Gleis-7-Service-Center,gleis7@sbb.ch,,,,,,,,,463
1620,Brig Contact Center SBB,Halbtax-Service-Center,halbtax@sbb.ch,,,,,,,,,464
1656,Leukerbad,"Billette, Abonnemente, Freizeitangebote",llb.leukerbad@kwicknet.ch,LLB,,Rathausstrasse,8,3954,Leukerbad,Schweiz,"46.3797876392, 7.62640947824",465
1672,Fiesch,Gepäck,bahnhof.fiesch@mgbahn.ch,Matterhorn Gotthard Bahn,,Bahnhofstrasse,11,3984,Fiesch,,"46.4031361683, 8.13264349687",466
1683,Stalden-Saas,"Billette, Abonnemente, Freizeitangebote",bahnhof.stalden@mgbahn.ch,,,,,,,,"46.2319774852, 7.87076552269",467
1688,Täsch,"Billette, Abonnemente, Freizeitangebote",bahnhof.taesch@mgbahn.ch,Matterhorn Gotthard Bahn,,,,3929,Täsch,Schweiz,"46.0674587948, 7.77451598603",468
1689,Zermatt,Gepäckaufbewahrung,bahnhof.zermatt@mgbahn.ch,Matterhorn Gotthard Bahn,,Bahnhofplatz 9,,3920,Zermatt,,"46.0244720211, 7.74829647858",469
1690,Zermatt GGB,"Billette, Abonnemente, Freizeitangebote",,,,,,,,,"46.023949225, 7.74868091973",470
1691,Riffelalp,"Billette, Abonnemente, Freizeitangebote",,,,,,,,,"46.0048989646, 7.75435623172",471
1691,Riffelalp,"Billette, Abonnemente, Freizeitangebote",bahnhof.riffelalp@gornergrat.ch,,,,,,,,"46.0048989646, 7.75435623172",472
1692,Riffelberg,"Billette, Abonnemente, Freizeitangebote",bahnhof.zermatt@gornergrat.ch,,,,,,,,"45.9929508442, 7.75510046843",473
1768,"Grimentz, poste",Gepäck,,,,,,,,,"46.1784922693, 7.57622475623",474
1780,"Saas-Almagell, Tourismusbüro",Gepäck,saas.almagell@bluewin.ch,,,,,,,,"46.0941668822, 7.95749649507",475
1783,"Saas-Grund, Post",Gepäck,,,,,,,,,"46.1235140981, 7.9368174188",476
1954,Bettmeralp,"Billette, Abonnemente, Freizeitangebote",info@aletschbahnen.ch,,,,,,,,"46.3861073639, 8.05793717863",477
2000,Aarburg-Oftringen,Drittverkauf,aarburg@avec.ch,avec. Aarburg-Oftringen,,Bahnhofstrasse,65,4663,Aarburg,,"47.3202667174, 7.90820373354",478
2008,Nottwil,Drittverkauf,bahnhof@nottwil.ch,,,,,,,,"47.1388047171, 8.13858805823",479
2021,Emmenbrücke,"Billette, Abonnemente, Freizeitangebote",reisebuero.emmenbruecke@sbb.ch,Schweizerische Bundesbahnen SBB,Postfach,Bahnhofstrasse,16,6020,Emmenbrücke,,"47.0705979582, 8.28255105833",480
2113,Aarau,Gepäck,bahnhof.aarau@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,3d,5000,Aarau,,"47.3913553369, 8.05125354274",481
2113,Aarau,Velovermietung,bahnhof.aarau@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,3d,5000,Aarau,,"47.3913553369, 8.05125354274",482
2168,Reinach AG,Gepäck,reinach@aar.ch,AAR bus + Bahnhof Reinach,,Bahnhofstrasse,7,5734,Reinach AG,,"47.250108124, 8.18333544082",483
2169,Menziken,Gepäck,,,,,,,,,"47.2409214644, 8.18930957917",484
2202,Rotkreuz,Eventtickets,billettschalter.rotkreuz@sbb.ch,Schweizerische Bundesbahnen SBB,,,,6343,Rotkreuz,,"47.1417586665, 8.43047453438",485
2203,Cham,Eventtickets,,Schweizerische Bundesbahnen SBB,,Bahnhof SBB,,6330,Cham,,"47.1782423661, 8.45748408001",486
2203,Cham,Western Union,,Schweizerische Bundesbahnen SBB,,Bahnhof SBB,,6330,Cham,,"47.1782423661, 8.45748408001",487
2215,Muri AG,Eventtickets,bahnhof.muri@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,14,5630,Muri,,"47.2766601869, 8.3397982935",488
2222,Bonstetten-Wettswil,"Billette, Abonnemente, Freizeitangebote",bahnhof.bonstetten@sbb.ch,Schweizerische Bundesbahnen SBB,,Stationsstrasse,32,8906,Bonstetten,,"47.3258957392, 8.46817514105",489
2222,Bonstetten-Wettswil,Eventtickets,bahnhof.bonstetten@sbb.ch,Schweizerische Bundesbahnen SBB,,Stationsstrasse,32,8906,Bonstetten,,"47.3258957392, 8.46817514105",490
2222,Bonstetten-Wettswil,Geldwechsel,bahnhof.bonstetten@sbb.ch,Schweizerische Bundesbahnen SBB,,Stationsstrasse,32,8906,Bonstetten,,"47.3258957392, 8.46817514105",491
2224,Affoltern am Albis,Fundservice,bahnhof.affoltern-albis@sbb.ch,Schweizerische Bundesbahnen SBB,60,Bahnhofplatz,2,8910,Affoltern am Albis,,"47.276064074, 8.44658239143",492
2273,Bremgarten,Reisebüro KTU,bremgarten@bdwm.ch,,,,,,,,"47.3518702667, 8.34747515845",493
2276,Berikon-Widen,Geldwechsel,berikon@bdwm.ch,BDWM Transport AG,,Bahnhofstrasse,2,8965,Berikon,,"47.3621867175, 8.36679370169",494
2276,Berikon-Widen,Reisebüro KTU,berikon@bdwm.ch,BDWM Transport AG,,Bahnhofstrasse,2,8965,Berikon,,"47.3621867175, 8.36679370169",495
2980,Möriken AG,Drittverkauf,,,,,,,,,,496
3000,Zürich HB,Fundservice,gepaeck.zuerich@sbb.ch,Schweizerische Bundesbahnen SBB,Postfach 1901,,,8021,Zürich 1,,"47.3781765756, 8.54019221036",497
3001,Zürich Altstetten,Western Union,personenverkehr.zuerich-altstetten@sbb.ch,Schweizerische Bundesbahnen SBB,,Altstetterplatz,12,8048,Zürich,,"47.3914808361, 8.4889402654",498
3003,Zürich Stadelhofen,Beratung & Verkauf,bahnhof.stadelhofen@sbb.ch,Schweizerische Bundesbahnen SBB,,Stadelhoferstrasse,8,8001,Zürich,,"47.3666105569, 8.54846647022",499
3003,Zürich Stadelhofen,"Billette, Abonnemente, Freizeitangebote",bahnhof.stadelhofen@sbb.ch,Schweizerische Bundesbahnen SBB,,Stadelhoferstrasse,8,8001,Zürich,,"47.3666105569, 8.54846647022",500
5000,Luzern,Western Union,geldwechsel.luzern@sbb.ch,Schweizerische Bundesbahnen SBB,Postfach,,,6002,Luzern,,"47.0501697679, 8.31017092011",501
5006,Schwyz,Eventtickets,bahnhof.schwyz@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,133,6423,Seewen,,"47.0263942922, 8.63213946703",502
5007,Brunnen,Geldwechsel,bahnhof.brunnen@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,46,6440,Brunnen,,"46.9991749288, 8.61004816648",503
5066,Rigi Klösterli,"Billette, Abonnemente, Freizeitangebote",,,,,,,,,"47.0425459978, 8.48713480959",504
5112,Flüelen,Eventtickets,bahnhof.flueelen@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,1,6454,Flüelen,,"46.9017256462, 8.62429304308",505
5113,Altdorf,Eventtickets,reisebuero.altdorf@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz 2,,6460,Altdorf,Schweiz,"46.8757407268, 8.63156572016",506
5113,Altdorf,Gepäck,reisebuero.altdorf@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz 2,,6460,Altdorf,Schweiz,"46.8757407268, 8.63156572016",507
5201,Airolo,Drittverkauf,leventina@bellinzonese-altoticino.ch,Leventina Turismo,Stazione FFS,,,6780,Airolo,,"46.5275264817, 8.6086051345",508
5209,Biasca,Fundservice,,Ferrovie federali svizzere FFS,,Via Bellinzona,,6710,Biasca,CH,"46.351982918, 8.97416705214",509
5209,Biasca,Gepäckaufbewahrung,,Ferrovie federali svizzere FFS,,Via Bellinzona,,6710,Biasca,CH,"46.351982918, 8.97416705214",510
5209,Biasca,Gruppenreisen,,Ferrovie federali svizzere FFS,,Via Bellinzona,,6710,Biasca,CH,"46.351982918, 8.97416705214",511
5209,Biasca,Western Union,,Ferrovie federali svizzere FFS,,Via Bellinzona,,6710,Biasca,CH,"46.351982918, 8.97416705214",512
5213,Bellinzona,"Billette, Abonnemente, Freizeitangebote",,Ferrovie federali svizzere FFS,,Piazzale Stazione,,6500,Bellinzona,CH,"46.195436816, 9.02950898687",513
5213,Bellinzona,Gepäckaufbewahrung,,Ferrovie federali svizzere FFS,,Piazzale Stazione,,6500,Bellinzona,CH,"46.195436816, 9.02950898687",514
5300,Lugano,Fundservice,sportello-bagagl.lugano@sbb.ch,Ferrovie federali svizzere FFS,,Piazzale della Stazione,,6900,Lugano,CH,"46.0055057275, 8.94687441524",515
5305,Mendrisio,Eventtickets,,Ferrovie federali svizzere FFS,,Via Franscini,,6850,Mendrisio,,"45.8691205007, 8.97860209025",516
5305,Mendrisio,Fundservice,,Ferrovie federali svizzere FFS,,Via Franscini,,6850,Mendrisio,,"45.8691205007, 8.97860209025",517
5305,Mendrisio,Gepäck,,Ferrovie federali svizzere FFS,,Via Franscini,,6850,Mendrisio,,"45.8691205007, 8.97860209025",518
5400,Locarno,Gepäckaufbewahrung,,Ferrovie federali svizzere FFS,Casella postale 344,,,6602,Muralto,CH,"46.1724273965, 8.80135894865",519
5850,"Ascona, Posta",Drittverkauf,661200@post.ch,,,,,,,,"46.156583235, 8.76973593237",520
6000,Winterthur,Fundservice,fundbuero.winterthur@sbb.ch,Schweizerische Bundesbahnen SBB,Postfach,,,8401,Winterthur,Schweiz,"47.5003335301, 8.72379907332",521
6000,Winterthur,Gepäck,fundbuero.winterthur@sbb.ch,Schweizerische Bundesbahnen SBB,Postfach,,,8401,Winterthur,Schweiz,"47.5003335301, 8.72379907332",522
6008,Wila,Drittverkauf,849200@post.ch,Die Schweizerische Post,,Kugelgasse,4,8492,Wila,,"47.4177702961, 8.84846779076",523
6016,Oberwinterthur,"Billette, Abonnemente, Freizeitangebote",bahnhof.oberwinterthur@sbb.ch,Schweizerische Bundesbahnen SBB,,Frauenfelderstrasse,25,8404,Winterthur,Schweiz,"47.5079184546, 8.76037093131",524
6016,Oberwinterthur,Geldwechsel,bahnhof.oberwinterthur@sbb.ch,Schweizerische Bundesbahnen SBB,,Frauenfelderstrasse,25,8404,Winterthur,Schweiz,"47.5079184546, 8.76037093131",525
6017,Wiesendangen,Drittverkauf,854200@post.ch,Die Schweizerische Post,,Schulstrasse,22,8542,Wiesendangen,Schweiz,"47.5255401974, 8.77601496118",526
6100,Frauenfeld,Geldwechsel,personenverkehr.frauenfeld@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,75,8500,Frauenfeld,Schweiz,"47.5581599749, 8.89653893491",527
6100,Frauenfeld,Western Union,personenverkehr.frauenfeld@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,75,8500,Frauenfeld,Schweiz,"47.5581599749, 8.89653893491",528
6106,Bürglen,Drittverkauf,857500@post.ch,,,,,,,,"47.5491005107, 9.14985544325",529
6121,Romanshorn,"Billette, Abonnemente, Freizeitangebote",reisebuero.romanshorn@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,,8590,Romanshorn,Schweiz,"47.5655269844, 9.37936259732",530
6125,Altnau,Drittverkauf,859500@post.ch,,,,,,,,"47.6213657537, 9.26589677408",531
6126,Münsterlingen-Scherzingen,Drittverkauf,859600@POST.CH,,,,,,,,"47.6334235783, 9.2269983596",532
6128,Kreuzlingen Hafen,Drittverkauf,kreuzlingenhafen@avec.ch,,,,,,,,"47.6491676497, 9.18196081638",533
6129,Konstanz,"Billette, Abonnemente, Freizeitangebote",ko300@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,49,78462,Konstanz,Deutschland,"47.6580935736, 9.17700848507",534
6131,Kreuzlingen,Velovermietung,reisebuero.kreuzlingen@sbb.ch,Schweizerische Bundesbahnen SBB,1837,Bahnhofstrasse,12,8280,Kreuzlingen,Schweiz,"47.6525540444, 9.16906514323",535
6139,Stein am Rhein,"Billette, Abonnemente, Freizeitangebote",bahnhof.stein-am-rhein@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,13,8260,Stein am Rhein,Schweiz,"47.656108874, 8.85500693112",536
6139,Stein am Rhein,Geldwechsel,bahnhof.stein-am-rhein@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,13,8260,Stein am Rhein,Schweiz,"47.656108874, 8.85500693112",537
6139,Stein am Rhein,Western Union,bahnhof.stein-am-rhein@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,13,8260,Stein am Rhein,Schweiz,"47.656108874, 8.85500693112",538
6169,Wiesengrund,Drittverkauf,,,,,,,,,"47.5021767065, 8.94887235132",539
6170,Münchwilen Pflegeheim,Drittverkauf,,,,,,,,,"47.4815944002, 8.99171966847",540
6200,Wattwil,Geldwechsel,wattwil@sob.ch,SOB,,Bahnhofstrasse,16,9630,Wattwil,CH,"47.2994785543, 9.0864636527",541
6206,Wil,Eventtickets,bahnhof.wil@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,,9500,Wil,Schweiz,"47.4624092373, 9.04098327921",542
6208,Uzwil,Eventtickets,bahnhof.uzwil@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhof,,9240,Uzwil,Schweiz,"47.4364421946, 9.13097170762",543
6210,Gossau SG,"Billette, Abonnemente, Freizeitangebote",bahnhof.gossau@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,2,9200,Gossau,Schweiz,"47.4118296551, 9.25303263655",544
6210,Gossau SG,Eventtickets,bahnhof.gossau@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,2,9200,Gossau,Schweiz,"47.4118296551, 9.25303263655",545
6269,Säntis,"Billette, Abonnemente, Freizeitangebote",,,,,,,,,"47.2493292536, 9.34227691739",546
6286,Appenzell,Gepäck,appenzell@appenzellerbahnen.ch,Appenzeller Bahnen AG,,Bahnhofstrasse,1,9050,Appenzell,,"47.328286221, 9.40882608704",547
6290,Herisau,Fundservice,herisau@sob.ch,Schweizerische Südostbahn AG,,Bahnhofplatz,5,9100,Herisau,,"47.3901678809, 9.27680356449",548
6290,Herisau,Western Union,herisau@sob.ch,Schweizerische Südostbahn AG,,Bahnhofplatz,5,9100,Herisau,,"47.3901678809, 9.27680356449",549
6292,Degersheim,Gepäckaufbewahrung,degersheim@sob.ch,Schweiz. Südostbahn AG,,Bahnhofstrasse,7,9113,Degersheim,Schweiz,"47.3724767308, 9.20028142402",550
6299,Nesslau-Neu St. Johann,Gepäckaufbewahrung,nesslau@sob.ch,Schweiz. Südostbahn AG,,Bahnhofstrasse,3,9650,Nesslau,Schweiz,"47.2266599944, 9.19779821129",551
6302,St. Gallen,Gruppenreisen,gruppenreisen.st.gallen@sbb.ch,Schweizerische Bundesbahnen SBB,1948,Bahnhofplatz,2,9001,St. Gallen,Schweiz,"47.4231790668, 9.36987712043",552
6302,St. Gallen,Western Union,leiterchange.st.gallen@sbb.ch,Schweizerische Bundesbahnen SBB,1948,Bahnhofplatz,2,9001,St. Gallen,Schweiz,"47.4231790668, 9.36987712043",553
6305,Goldach,Drittverkauf,migrolino.goldach@migrolino.com,,,,,,,,"47.4737971116, 9.46699032646",554
6308,Arbon,Geldwechsel,arbon@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,48,9320,Arbon,Schweiz,"47.5105854479, 9.43333858591",555
6311,Rorschach,Geldwechsel,reisebuero.rorschach@sbb.ch,Schweizerische Bundesbahnen SBB,,Churerstrasse,17,9400,Rorschach,Schweiz,"47.4779984016, 9.50513168035",556
6311,Rorschach,Velovermietung,reisebuero.rorschach@sbb.ch,Schweizerische Bundesbahnen SBB,,Churerstrasse,17,9400,Rorschach,Schweiz,"47.4779984016, 9.50513168035",557
6311,Rorschach,Western Union,reisebuero.rorschach@sbb.ch,Schweizerische Bundesbahnen SBB,,Churerstrasse,17,9400,Rorschach,Schweiz,"47.4779984016, 9.50513168035",558
6313,Rheineck,Geldwechsel,reisebuero.rheineck@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,33,9424,Rheineck,Schweiz,"47.4668881391, 9.59090422659",559
6313,Rheineck,Gepäck,reisebuero.rheineck@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,33,9424,Rheineck,Schweiz,"47.4668881391, 9.59090422659",560
6317,Heerbrugg,Gepäck,reisebuero.heerbrugg@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofstrasse,16,9435,Heerbrugg,Schweiz,"47.4103853071, 9.62724352946",561
6375,Teufen,"Billette, Abonnemente, Freizeitangebote",teufen@appenzellerbahnen.ch,Appenzeller Bahnen AG,,Ebni,1,9053,Teufen,,"47.3902709915, 9.39006695683",562
6379,Altstätten Stadt,Drittverkauf,,,,,,,,,"47.3767571507, 9.53731224076",563
6393,Wittenbach,Fundservice,wittenbach@sob.ch,Schweiz. Südostbahn AG,,Stationsstrasse,2,9300,Wittenbach,,"47.4628476165, 9.38853751225",564
7000,Bern,Eventtickets,reisezentrum.bern@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,10A,3011,Bern,Schweiz,"46.948824497, 7.43911900576",565
7000,Bern,Fundservice,keine Kunden in die Fundzentrale Bern schicken  www.sbb.ch/fundservice,Schweizerische Bundesbahnen SBB,,Bahnhofplatz,10A,3011,Bern,Schweiz,"46.948824497, 7.43911900576",566
7006,Münsingen,Gepäck,reisebuero.muensingen@sbb.ch,Schweizerische Bundesbahnen SBB,,Bahnhofplatz 4,,3110,Münsingen,,"46.8733456586, 7.55942999819",567
7063,Worb Dorf,Gruppenreisen,bahnhof.worb@rbs.ch,Regionalverkehr Bern-Solothurn RBS,,Bahnhofplatz,2,3076,Worb,,"46.9299855627, 7.5624714622",568
7071,Seftigen,Reisebüro KTU,seftigen@bls.ch,BLS,,Bahnhof,1,3662,Seftigen,,"46.7868468574, 7.54028748019",569
7076,Belp,Check-in am Bahnhof,,BLS,,Bahnhofplatz,6,3123,Belp,,"46.888883092, 7.49863601858",570
7076,Belp,Reisebüro KTU,,BLS,,Bahnhofplatz,6,3123,Belp,,"46.888883092, 7.49863601858",571
7079,Bern Weissenbühl,Geldwechsel,weissenbuehl@bls.ch,BLS,,Südbahnhofstrasse,14,3007,Bern,,"46.9357720844, 7.43001838248",572
7100,Thun,Check-in am Bahnhof,baggage-verkauf.thun@sbb.ch,Schweizerische Bundesbahnen SBB,,Seestrasse,2,3600,Thun,,"46.7548532939, 7.62959464395",573
7100,Thun,Gepäck,baggage-verkauf.thun@sbb.ch,Schweizerische Bundesbahnen SBB,,Seestrasse,2,3600,Thun,,"46.7548532939, 7.62959464395",574
7100,Thun,Velovermietung,baggage-verkauf.thun@sbb.ch,Schweizerische Bundesbahnen SBB,,Seestrasse,2,3600,Thun,,"46.7548532939, 7.62959464395",575
7154,Spiez Schiffstation,"Billette, Abonnemente, Freizeitangebote",,,,,,,,,"46.6884399629, 7.68992435297",576
7173,"Hilterfingen, Post",Drittverkauf,,,,,,,,,"46.7355070338, 7.65806184624",577
7176,"Gunten, Dorf",Gepäck,gunten@thunersee.ch,,,,,,,,"46.7128095634, 7.70161164589",578
7279,Lenk im Simmental,"Billette, Abonnemente, Freizeitangebote",bahnhof.lenk@goldenpass.ch,GoldenPass,,Bahnhofplatz,2,3775,Lenk im Simmental,,"46.4585813799, 7.44352282181",579
7279,Lenk im Simmental,Velovermietung,,GoldenPass,,Bahnhofplatz,2,3775,Lenk im Simmental,,"46.4585813799, 7.44352282181",580
7356,Wengen LWM,Geldwechsel,,,,,,,,,"46.6063023928, 7.92157718071",581
7361,Eigergletscher,"Billette, Abonnemente, Freizeitangebote",,,,,,,,,"46.5748075236, 7.97407636075",582
7376,Grindelwald Grund,"Billette, Abonnemente, Freizeitangebote",fp.gr@jungfrau.ch,WENGERNALPBAHN AG,,,,3818,Grindelwald,,"46.6226478957, 8.02332914559",583
7378,Grütschalp,"Billette, Abonnemente, Freizeitangebote",fp.grue@jungfrau.ch,,,,,,,,"46.5965150723, 7.89087419075",584
7380,Grindelwald,Check-in am Bahnhof,fp.gw@jungfrau.ch,Berner Oberland Bahn,,Dorfstrasse,77,3818,Grindelwald,CH,"46.6243684278, 8.03331025897",585
7388,Wilderswil,"Billette, Abonnemente, Freizeitangebote",fp.wi@jungfrau.ch,,,,,,,,"46.6657027223, 7.86947421285",586
7388,Wilderswil,Kundendienst,fp.wi@jungfrau.ch,,,,,,,,"46.6657027223, 7.86947421285",587
7457,Schilthorn,"Billette, Abonnemente, Freizeitangebote",,,,,,,,,"46.5572580948, 7.83525422277",588
7483,Spiez,Check-in am Bahnhof,spiez@bls.ch,BLS AG,,Bahnhofstrasse,12,3700,Spiez,,"46.6863921577, 7.68009797421",589
7483,Spiez,Fundservice,spiez@bls.ch,BLS AG,,Bahnhofstrasse,12,3700,Spiez,,"46.6863921577, 7.68009797421",590
7483,Spiez,Geldwechsel,spiez@bls.ch,BLS AG,,Bahnhofstrasse,12,3700,Spiez,,"46.6863921577, 7.68009797421",591
7483,Spiez,Gepäck,spiez@bls.ch,BLS AG,,Bahnhofstrasse,12,3700,Spiez,,"46.6863921577, 7.68009797421",592
7493,Interlaken West,"Billette, Abonnemente, Freizeitangebote",interlaken@bls.ch,BLS,,Bahnhofstrasse,28,3800,Interlaken,,"46.6826271766, 7.85144043072",593
7771,"Wiler (Lötschen), Seilbahn",Gepäck,,,,,,,,,"46.4018355078, 7.77799838397",594
